name,price,colors,description,features,image link,link
The POREfessional Face Primer Value Size,$54.00,N;A,"Smoooth moves!It’s Benefit’s iconic, #1 face primer...The POREfessional! This Benefit bestseller is known & loved for its smoothing superpowers. Instantly minimize the look of pores & fine lines and blur imperfections for silky-soft, smoother-than-smooth skin. Plus, help makeup apply evenly & stay put. Silky-smooth  Lightweight  Translucent  Non-comedogenic  Contains Vitamin E derivative 91% said it minimizes pore appearance*   97% said skin looks smooth* 93% said it helps makeup stay put* *self-evaluation by 100 participants over 1 week","-	Minimize the look of pores & fine lines
-	Help makeup apply evenly & stay put
-	Get silky-soft, smoother-than-smooth skin
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-face-primer/the-porefessional-value-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-face-primer?product=POREFIB274
POREfectly Hydrated,$32.00,N;A,"Minimize the look of pores & fine lines, help makeup stay put, and defeat dryness with this pair of Benefit’s bestselling face primers! The POREfectly Hydrated set includes a FULL-SIZE of the original POREfessional smoothing face primer and a travel-size mini hydrating primer for 12 hours* of refreshed, moisturized skin.*instrumental test on 20 womenSet Includes: The POREfessional pore-minimizing face primer | full-size The POREfessional Hydrating Face Primer | mini","-	Includes a full-size and FREE mini
-	Minimize the look of pores
-	Defeat dryness
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/porefectly-hydrated/porefectlyhydrated_component-kit.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/porefectly-hydrated
They're Real! Lengthening Mascara,$27.00,Jet Black;Beyond Brown,"They're real! lengthens, curls, volumizes, lifts and separates. Our jet black, long-wearing formula won't smudge or dry out. A specially designed brush reveals lashes you never knew you had! Comes in full size & mini 94% saw dramatic length & volume* 94% saw visible lift* 100% saw long-wearing results* *Results observed in a consumer panel survey","-	Lengthen, curls, volumizes, lifts
-	Long-wearing formula
-	Custom domed-tip brush
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/theyre-real-lengthening-mascara/carousel-images/full-size/theyre-real-lengthening-mascara-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/theyre-real-lengthening-mascara?product=TARMASCARA-FULL
They're Real! Tinted Eyelash Primer,$27.00,N;A,"Tint, define AND prime lashes! Wear this innovative, mink brown primer alone to give lashes a feathery, natural look. Wear they're real! tinted primer with they’re real! mascara to dramatically boost length & separate for beyond belief lashes. The high-performing gel formula is water resistant and conditions with provitamin B5. 89% said lashes had a natural look* 91% said it was soft enough to layer with mascara 6 hours later* 94% said it defined lashes when paired with they’re real! mascara** 92% said it boosted length, lift & separation when paired with they’re real! mascara** *Consumer panel survey on 65 women over 1 week. **Consumer panel survey on 66 women over 1 week.","-	Tint, define, prime lashes
-	Water-resistant
-	Can be worn alone or with mascara
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/theyre-real-tinted-primer/theyre-real-tinted-primer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/theyre-real-tinted-eyelash-primer
The POREfessional: Hydrate Primer,$32.00,N;A,"Defeat pores AND dryness! This silky-smooth, hydrating face primer instantly moisturizes & refreshes skin, helps makeup stay put and minimizes the look of pores and fine lines. It has the same lightweight feel & pore-minimizing power as the original The POREfessional PLUS 12-hour* hydration. Pores and dryness don’t stand a chance! Natural finish Contains Hyaluronic Acid to attract moisture & help maintain hydration and Shea Butter known to smooth & moisturize** 98% said it minimized pore appearance*** 98% said skin looked hydrated & healthy*** 100% said it helped makeup glide on smoothly*** *instrumental test on 11 women**in vitro tests on ingredients***self-evaluation by 105 women after 1 week","-	Moisturizes & refreshes skin
-	Natural finish
-	Minimizes the look of pores and fine lines
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-hydrate-primer/carousel-images/the-porefessional-hydrate-primer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-hydrate-primer?product=POREHFM99-FULL
The POREfessional: Hydrate Primer Value Size,$54.00,N;A,"Defeat pores AND dryness! This silky-smooth, hydrating face primer instantly moisturizes & refreshes skin, helps makeup stay put and minimizes the look of pores and fine lines. It has the same lightweight feel & pore-minimizing power as the original The POREfessional PLUS 12-hour* hydration. Pores and dryness don’t stand a chance! Natural finish Contains Hyaluronic Acid to attract moisture & help maintain hydration and Shea Butter known to smooth & moisturize** 98% said it minimized pore appearance*** 98% said skin looked hydrated & healthy*** 100% said it helped makeup glide on smoothly*** *instrumental test on 11 women**in vitro tests on ingredients***self-evaluation by 105 women after 1 week","-	Moisturizes & refreshes skin
-	Natural finish
-	Minimizes the look of pores and fine lines
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-hydrate-primer/carousel-images/porehydrate_jumbo_component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-hydrate-primer?product=POREHFM99-JUMBO
The POREfessional: Pearl Primer,$32.00,N;A,"The power of The POREfessional…PLUS brightening! This soft-radiance face primer instantly minimizes the look of pores, locks on makeup and helps skin look bright, boosted and awake. It’s the same lightweight, silky smooth texture as the original The POREfessional: Pore Primer PLUS a hint of soft pearly pink. Pores and dullness don’t stand a chance!  Soft matte finish 90% said complexion looked brighter* 91% said it minimized the look of pores*   96% said it created soft-matte radiance* *self-evaluation by 100 women after 1 week","-	Non-comedogenic
-	Soft matte finish
-	Silky lightweight balm
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-pearl-primer/carousel-images/the-porefessional-pearl-primer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-pearl-primer?product=POREPFM86-FULL
Big Brow Love,$30.00,2 - Warm golden blonde;2.5/3 - Neutral blonde;3 - Warm light brown;3.5/3 - Neutral medium brown;4 - Warm deep brown;5 - Warm black-brown,"Complete with FULL-SIZES of Benefit's beloved eyebrow essentials, The Big Brow Love set features an ultra-fine precision pencil, volumizing gel, and a clear shaping & setting gel all at a major steal. It's the total package for defined, visibly fuller brows that won't budge! Set includes:  Precisely, My Brow Pencil ultra-fine eyebrow defining pencil | full-size Gimme Brow+ tinted volumizing eyebrow gel | full-size 24-HR Brow Setter invisible shaping & setting eyebrow gel | full-size","-	3 full-size Benefit brow bestsellers
-	Define, volumize & set brows for 24 hours*
-	Available in shades 2, 2.5, 3, 3.5, 4 & 5**
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/big-brow-love/big-brow-love-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/big-brow-love
Jingle Brows,$35.00,02/2.5;03;03/3.5;04;05,"Deck the brows! Apply Precisely, My Brow Pencil onto brows using light, short, hair-like strokes & blend with spoolie. Stroke Gimme Brow+ brush tip along brow to define shape. Brush through to blend & build. Glide High Brow Duo Pencil matte or shimmer end under brows following the arch & lightly blend. Beauty TipUse the precision tip of Gimme Brow+ to define narrow parts of your brow like the arch & tail.","-	Gift (or keep) 3 FULL-SIZE Benefit brow bestsellers!
-	Features our #1 precision pencil & brow volumizing gel
-	PLUS our NEW dual-ended pencil to highlight brow bones
","https://www.benefitcosmetics.com/globalassets/pdps/holiday/holiday-2021/jingle-brows/holiday21_jinglebrows_nobkgd-1.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/jingle-brows-99aec8ff
Pucker Up & Peace Out! Lip Balm Trio,$21.00,N;A,"Lips love California Kisses! Glide on lips for smooth, vivid color. BEAUTY TIP: Pop these portable minis in your purse to take your California Kisses on-to-go!","-	California Kissin’ ColorBalm moisturizing lip balm in Spiced Red 11 | mini
-	California Kissin’ ColorBalm moisturizing lip balm in Ruby 22 | mini
-	California Kissin’ ColorBalm moisturizing lip balm in Berry 333 | mini
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/pucker-up--peace-out/puckerup-peaceout-component-kit.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/pucker-up-peace-out
The Great Brow Basics,$36.00,3 - Medium;3.5 - Medium;4 - Medium;4.5 - Medium,"Now, it’s easier than ever to get great brows FAST! This trio of bestsellers features 2 brow pencils and 1 brow gel. Goof Proof Brow Pencil easily fills brows with its 12-hour*, waterproof** formula and custom goof-proof tip. Precisely, My Brow Pencil draws natural-looking hair-like strokes with its ultra-fine tip and 12-hour*** smudge-proof color. Gimme Brow+ microfiber gel brushes on for fuller-looking, volumized brows instantly. Available in 6 shades. *instrumental test on 20 women
**instrumental test on 22 women
***instrumental test on 23 women","-	Trio of brow bestsellers
-	Available in 6 shades
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/the-great-brow-basics/the-great-brow-basics-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-great-brow-basics
Love Me Bright,$36.00,N;A,"Brighten up & kiss this!  Sweep Dandelion on cheeks or all over face for an instant brightening boost. Glide Lovetint onto lips, layering to build intensity. Then, dot and blend quickly onto cheeks for an extra passionate flush that lasts.     BEAUTY TIP:       Lips love to ChaCha! Layer Lovetint & Chachatint (sold separately) on lips for a custom juicy-red pout.","-	Get 2 FULL-SIZE bright Benefit beauties for lips & cheeks!
-	Fiery-red Lovetint lip & cheek stain for longwearing, kiss-proof color
-	Bestselling Dandelion baby-pink blush for a beautifully bright look
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/love-me-bright/love-me-bright-component22.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/love-me-bright
Lovetint Cheek & Lip Stain,$18.00,N;A,"Our fiery-red lip & cheek stain is the most passionate flush you can get from a bottle. Our precise lip applicator glides right on for a gorgeous look in seconds. Apply on lips and cheeks for kiss-proof, long-lasting vibrant color you're sure to love! Fiery-red lip & cheek tint Longwear Smudge-proof Non-drying","-	Fiery-red lip & cheek tint
-	Long-lasting
-	Smudge-proof
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/cheek--lip-stain/lovetint-lip--cheek-stain/lovetint-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/lovetint-cheek-lip-stain
"""That Gal"" Brightening Face Primer",$29.00,N;A,"Our silky pink primer takes your complexion from dull to darling! Simply blend it on for the look of brighter, smoother skin. Soothing raspberry & chamomile Light-reflecting pigments Flatters all skintones","-	Silky pink primer
-	Light-reflecting pigments
-	Wear alone or before makeup
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/that-gal-brightening-face-primer/that-gal-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/that-gal-brightening-face-primer
High Brow Duo Pencil,$25.00,Light;Medium;Deep,"Boosted brows, brighter-looking eyes!   Apply pencil under brows following the arch. Lightly blend with fingertip.  BEAUTY TIP:     For extra brow definition, apply matte shade above brow from arch to tail. Then apply shimmer shade below brow from start to end & blend.","-	Dual-ended matte & shimmer pencil to highlight brow bones
-	Smooth, blendable formula
-	Available in 3 versatile shade combinations for light, medium & deep skin tones
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-pencil/high-brow-duo-pencil/high-brow-duo-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/high-brow-duo-pencil
Good Brow Day,$32.00,2 - Warm golden blonde;3 - Warm light brown;4 - Warm deep brown,"Have a good brow day every day with this FULL-SIZE duo of Benefit’s fan-fave brow filling & highlighting pencils. Define brows & draw on natural-looking, hair-like strokes with our #1 precision pencil, Precisely, My Brow Pencil then highlight under your arches with High Brow.","-	Precisely, My Brow Pencil ultra-fine brow defining pencil | full-size
-	High Brow creamy brow highlighting pencil | full-size
-	Available in shades 2, 3 and 4
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/good-brow-day/goodbrowday_component-kit1.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/good-brow-day
3D BROWtones Eyebrow Enhancer,$24.00,02 - light / medium;04 - medium / deep,"3D BROWtones is now available in 5 NEW colorful shades! Get easy, instant and temporary colorful brows. These sheer, buildable brow gels softly highlight brows and make your eye color POP. Wear alone or, for best results, over brow pencil. 7 sheer, buildable shades Easy to remove Water-resistant* Custom brush with comb tip *Instrumental test on 20 panelists","-	Instant and temporary colorful brows
-	Sheer, buildable brow gels
-	Available in 7 shades
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/3d-browtones/3d-browtones-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/3d-browtones-eyebrow-enhancer
Browvo! Conditioning Primer,$28.00,N;A,"It's a brow RE-appearing act with this nutrient-rich eyebrow primer! Worn alone BROWVO! conditions & smooths brows. Worn as a primer it enhances extends the wear of other brow products. This conditioning formula contains keratin soy proteins known to help brows look THICKER, HEALTHIER & FULLER. Signature Tips & Tricks included! Comes in full size & mini All-in-one eyebrow serum Clear gel suits all brows Custom soft-touch applicator","-	Conditions & smooths brows
-	Contains keratin & soy proteins
-	Can be worn alone or as primer
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/browvo-conditioning-eyebrow-primer/browvo-conditioning-primer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/browvo-conditioning-eyebrow-primer?product=BROWVBM43-FULL
The POREfessional: Matte Rescue Gel,$32.00,N;A,"The POREfessional: Matte Rescue Gel instantly minimizes pore appearance. The lightweight, water-based gel overpowers shine and absorbs excess surface oil, leaving a natural-looking matte finish. Skin feels smooth and refreshed. Contains diamond powder known for its soft-focus pore-blurring effect. Comes in full size & mini 92% said it mattifies shine instantly* 92% said skin feels clean, refreshed* 89% said it absorbs excess surface oil instantly* *Consumer panel survey of 66 women over 1 week","-	Minimizes pore appearance
-	Lightweight, water-based gel
-	Absorbs excess surface oil
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-matte-rescue-gel/the-porefessional-matte-rescue-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-matte-rescue-gel?product=POREFFM30-FULL
Goof Proof Brow Pencil,$24.00,1 - Cool light blonde;2 - Warm golden blonde;2.5 - Neutral blonde;2.75 - Warm auburn;3 - Warm light brown;3.5 - Neutral medium brown;3.75 - Warm medium brown;4 - Warm deep brown;4.5 - Neutral deep brown;5 - Warm black-brown;6 - Cool soft black;Cool grey,"Presto…everyone’s an expert with this super easy filling & shaping eyebrow pencil. It features a custom, non-sharpen “goof-proof” tip, soft color and a glide-on formula for easy & fast brow filling. Comes complete with built-in blending spoolie-brush and signature Tips & Tricks! Comes in full size & mini 12-hour* waterproof** formula 95% said it was easy to fill & shape brows*** 94% said it gives beautiful brows on the first try*** *instrumental test on 20 panelists**Instrumental test on 22 panelists***consumer panel survey of 109 women after 1 week","-	Custom “goof-proof” tip
-	Easy & fast glide-on formula
-	Built-in spoolie-brush
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-pencil/goof-proof-eyebrow-pencil/goof-proof-pencil-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/goof-proof-eyebrow-pencil?product=GOOFP-FULL
Foolproof Brow Powder,$24.00,01 - light;03 - medium;05 - deep,"Get foolproof fullness and a soft, natural look with foolproof brow powder. This velvety smooth, 12-hour* formula instantly adheres to hair & skin transforming sparse brows into full-looking brows. The light-to-dark shade mimics the gradual look of natural brows and the eyebrow-shaped pan makes it super easy to apply…no harsh lines or mistakes! natural eyebrow look 93% said it was easy to apply** includes blending sponge & spoolie-brush *consumer panel survey of 101 women after 1 week **instrumental test on 20 panelists","-	Light-to-dark eyebrow powder
-	Velvety smooth 12-hour* formula
-	Includes blending sponge & spoolie-brush
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-tools--kits/foolproof-brow-powder/foolproof-brow-powder-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/foolproof-brow-powder
Tickle Powder Highlighter,$30.00,N;A,"Amp up your radiance and dust our featherlight, silky-fine powder highlighter along cheekbones for an irresistible golden-pink luster. Includes a built-in mirror and powder brush for easy, seamless application. It's a gleam come true! Golden pink super-silky highlighter Includes custom rounded blush brush and mirror","-	Silky-fine powder highlighter
-	Irresistible golden-pink luster
-	Featherlight
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/highlighter/tickle-powder-highlighter/tickle-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/tickle-powder-highlighter
Brow Zings Pro Palette,$39.00,light-medium;medium-deep,"Take your brow look up a notch with Brow Zings Pro Palette! This slim, portable brow palette includes 4 longwearing brow powders to fill & shape brows and 3 waxes to sculpt & define brows – 2 flattering high-pigment waxes and 1 clear wax. It includes a dual-ended Hard-Angled Brush for precise wax application, a Flat, Tapered Brush for powder application and a Blending Spoolie for effortless blending. Benefit’s signature Tips & Tricks walk you through how to create a wide range of brow looks, from Naturally Beautiful to Bold. Available in two flattering shades – Light-Medium and Medium-Deep – that take the guesswork out of gorgeous brows. High-pigment sculpting wax Silky-soft, 12-hour longwearing* powder Hard-Angled Brush Flat, Tapered Brush Blending Spoolie Available in Light-Medium and Medium-Deep *instrumental test on 20 women","-	Portable brow palette
-	High-pigment sculpting wax
-	Silky-soft, 12-hour longwearing* powder
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-tools--kits/brow-zings-pro-palette/brow-zings-pro-palette-comp.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/brow-zings-pro-palette
Brow Styler,$34.00,1 - Cool light blonde;2 - Warm golden blonde;2.5 - Neutral blonde;2.75 - Warm auburn;3 - Warm light brown;3.5 - Neutral medium brown;3.75 - Warm medium brown;4 - Warm deep brown;4.5 - Neutral deep brown;5 - Warm black-brown;6 - Cool soft black;Cool grey,"This dual ended brow powder & wax pencil is all you need to get 3 brow looks in minutes! The waterproof*, 18-hour wear* wax-pencil sculpts and shapes brows for a clean & shaped look while the loose filling powder builds easily for soft & full brows. Wear them together for bold & defined brows! *Instrumental test on 20 women 2-in-1 brow powder & wax pencil mess-free application signature Tips & Tricks included 100% said pencil created a sculpted look** 98% said powder made brows look fuller** 99% said Brow Styler is versatile enough to create different brow looks**  **self-evaluation by 106 women after 1 week","-	2-in-1 brow powder & wax pencil
-	Creates 3 essential brow looks
-	Available in 12 shades
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-tools--kits/brow-styler/brow-styler-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/brow-styler
Gogotint Cheek & Lip Stain,$18.00,N;A,"Turn on the sass with this bright cherry red tinted lip & cheek stain! Our precise lip applicator glides right on lips for a juicy burst of color and blends beautifully onto cheeks for a sweet, vibrant flush that lasts for hours. Cherry red lip & cheek stain Kiss-proof & smudge-proof Longwear","-	Bright cherry tinted stain
-	Longwear
-	Smudge-proof
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/cheek--lip-stain/gogotint-cheek--lip-stain/gogotint-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/gogotint-cheek-lip-stain
Boi-ing Industrial Strength Concealer,$22.00,01 - Fair neutral;02 - Light cool;03 - Medium neutral;04 - Medium-Tan warm;05 - Tan neutral;06 - Deep warm,"Our original Boi-ing Industrial Strength Concealer hides it all! This “stay put” full coverage concealer covers everything from heavy-duty dark circles to blemishes & discoloration. (Formerly known as just Boi-ing. Same shades, same great formula!) Full coverage Ideal for blemishes & dark circles Cream formula Matte finish","-	Creamy formula
-	Full coverage
-	Covers dark circles & blemishes
","https://www.benefitcosmetics.com/globalassets/pdps/face/concealer/boi-ing-industrial-strength-concealer/boiing-industrial-strength-concealer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/boi-ing-industrial-strength-concealer
BADgal BANG! 24 Hour Eye Pencil,$22.00,Pitch black;Deep brown;Dark purple;Midnight blue,"Get bold definition with BADgal BANG! 24 Hour* Eye Pencils. These rich, creamy, waterproof** eye liners glide on smooth and set to a transfer-resistant matte finish. Includes a built-in smudger for smoky eyes in seconds. Available in four shades that’ll flatter everyone.  24 Hour* Longwear eye pencil Waterproof**, transfer-resistant Automatic, no-sharpen tip Built-in smudger Pitch Black, Deep Brown, Dark Purple, Midnight Blue  *instrumental test on 20 women**instrumental test on 22 women","-	Rich, creamy, waterproof**
-	Available in 4 shades
-	Includes a built-in smudger
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/eyeliner/badgal-bang-24-hour-eye-pencil/badgal-bang-eye-pencil-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/badgal-bang-24-hour-eye-pencil
Roller Liner Matte Liquid Eyeliner,$22.00,Black;Brown,"Glide on a natural-looking, fine line with Roller Liner! Our matte liquid eyeliner features a precision felt tip for sharp controlled lines and a super-smooth application that won’t drag. The quick-dry, waterproof* formula lasts 24-hours**. It doesn’t fade, flake or smudge, so you can let the good times roll all day & night! * Instrumental test on 21 women**Instrumental test on 20 women 94% said it creates a smooth continuous line*** 93% said it doesn’t tug or drag on skin*** 91% said it stays put*** ***Self-evaluation by 101 women after 1 week","-	Matte liquid eyeliner
-	Smooth application
-	Waterproof* formula lasts 24 hours
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/eyeliner/roller-liner-liquid-eyeliner/roller-liner-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/roller-liner-matte-liquid-eyeliner?product=ROLLLINER-FULL
Benetint Cheek & Lip Stain,$18.00,N;A,"This iconic rose-tinted lip stain was created for an exotic dancer in the 1970s and has since soared to cult-fave status. Our doe foot applicator glides right on lips & blends over cheeks for a gorgeous look in seconds. The kiss-proof color lasts for hours, making it loved by celebs, makeup artists and gals around the world. Rose-tinted lip stain Natural-finish Smudge-proof Sheer & buildable Longwear","-	Rose-tinted lip stain
-	Longwear
-	Cult favorite
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/cheek--lip-stain/benetint-cheek--lip-stain/benetint-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/benetint-cheek-lip-stain
Benetint Cheek & Lip Stain Original Size,$30.00,N;A,"Our original rose-tinted stain is kiss-proof, see-through color for lips & cheeks that lasts for hours. Originally created for an exotic dancer in the 1970s, Benetint has soared to cult fave status. It's loved by celebs, makeup artists and gals around the world. Natural-finish Long-lasting wear Sheer & sexy on all complexions","-	Natural-finish
-	Long-lasting wear
-	Sheer & sexy on all complexions
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/cheek--lip-stain/benetint-cheek--lip-stain/benetint-cheek--lip-stain-og/benetint-og-component1.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/benetint-cheek-lip-stain-original-size
Chachatint Cheek & Lip Stain,$18.00,N;A,This sheer stain beautifully blushes lips & cheeks with a mango hue. Our precise lip applicator glides right on lips & cheeks for a deliciously vibrant look that lasts for hours. Smooch-proof Longwear Smudge-proof,"-	Mango tinted stain
-	Longwear
-	Smooch-proof
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/cheek--lip-stain/chachatint-lip--cheek-stain/chachatint-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/chachatint-cheek-lip-stain
California Kissin' ColorBalm,$21.00,333 - Berry;111 - Pomegranate;11 - Spiced Red;222 - Wine;99 - Poppy;00 - Cherry;55 - Nude Pink;77 - Pink Rose;66 - Fuchsia;33 - Peach-Pink;88 - Coral;22 - Ruby;520 - Pink Quartz;200 - Blackberry;300 - Rosewood;50 - Nude Rose,"Glide on this moisturizing lip balm for up to 8 hours* of smooth, luxurious color. This cushiony formula contains wild mango butter to help moisturize lips and hyaluronic acid to help keep lips feeling smooth & hydrated all day. 100% said lips feel nourished** 98% said lips feel instantly softer** 97% said it provides vivid color** *instrumental test on 20 women **self-evaluation by 101 women after 1 week Cherry 00, ""Wild Child"" Spiced Red 11, ""Boho Chill"" Ruby 22, ""Outta Sight"" Peach-Pink 33, ""Right On!"" Nude Rose 50, “Soul Sister"" Nude-Pink 55, ""Make Love"" Fuchsia 66, ""Free Spirit"" Pink Rose 77, ""Flower Power""  Coral 88, ""Good Karma"" Poppy 99, ""Party Girl"" Pomegranate 111, ""Peace Out!"" Blackberry 200, “Far Out"" Wine 222, ""Merlot Mama"" Rosewood 300, “Dream On"" Berry 333, ""Good Vibes"" Pink Quartz 520, “Sheer Bliss""","-	Nourishing lip balm that offers 8 hours* of smooth, kissable color!
-	Contains hyaluronic acid to help keep lips feeling smooth & hydrated
-	Available in 16 vibrant colors
","https://www.benefitcosmetics.com/globalassets/pdps/lips/california-kissin-colorbalm/californiakissin_component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/california-kissin-colorbalm
Watt's Up! Cream Highlighter,$30.00,N;A,"Our soft focus highlighter turns on ""watt"" ya got with a delicate rose-gold glow that's gorgeous. The cream-to-powder finish is a switch-on ""wow"" for all complexions. You'll adore the smooth applicator. Luminous sheen Soft-focus look Apply solo or over makeup","-	Rose-gold glow
-	Cream-to-powder finish
-	Soft-focus look
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/highlighter/watts-up-cream-highlighter/watts-up-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/watts-up-cream-highlighter
Eye Beam Gel Highlighter,$24.00,N;A,"Beam you up! Eye Beam softly illuminates your eye area and highlights brow bones & cheekbones with dewy-looking, golden-peach radiance. The gel formula blends easily, won’t crease or settle into fine lines and lasts all day. Plus, the sheer shade is divine on all skin-tones, fair to deep. Weightless feel Crease-proof 8-hour longwear* Soft golden peach shade *Instrumental test on 20 women","-	Soft golden peach shade
-	Gel formula
-	Weightless feel
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/eyeliner/eye-beam-gel-highlighter/eyebeam_component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/eye-beam-gel-highlighter
High Beam Liquid Highlighter,$18.00,N;A,Our satiny pink liquid highlighter accents cheek & brow bones for a dewy glow. Our new precise applicator glides on easily for a soft rose-gold radiance instantly! Use as a spot highlighter over makeup or wear under your complexion faves for subtle luminescence. Radiant look Long-lasting Day or night gorgeous,"-	Satiny pink liquid highlighter
-	Dewy glow
-	Long-lasting
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/highlighter/high-beam-liquid-highlighter/high-beam-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/high-beam-liquid-highlighter
Dandelion Brightening Finishing Powder,$30.00,N;A,"This sheer, ballerina-pink face powder takes your complexion from dull to radiant. Sweep it on cheeks as a soft blush or dust it all over face as a brightening finishing powder. Comes in full size & mini Hint of shimmer Buildable color Soft, natural-bristle brush included","-	Ballerina-pink brightening powder
-	Buildable color
-	Hint of shimmer
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/dandelion-brightening-finishing-powder/dandelion-powder-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/dandelion-brightening-finishing-powder?product=DANDELIB83-FULL
